orde	waterlichaam_code	waterlichaam_naam	categorie	categorie_2	type	statuut	speerpunt_aandachtsgebied	Stroomgebied	bekken	beoordeling_eco	beoordeling_fc	totale_beoordeling_bio	beoordeling_hydmo	fb_eqr	fb_beoordeling	fb_jaar	fp_eqr	fp_beoordeling	fp_jaar	mf_eqr	mf_beoordeling	mf_jaar	mmif_eqr	mmif_beoordeling	mmif_jaar	vis_eqr	vis_beoordeling	vis_jaar	AantalBemonsterdeBiota	AantalNietRelevanteBiota	AantalRelevanteBiota	VerhoudingBemonsterdeBiotaTovRelevanteBiota
L1	L111_1114	ANTITANKGRACHT ZUID	rivier	rivier	Bk	Kunstmatig     	Aandachtsgebied	 Schelde	Beneden-Schelde	3	3	3		0.89	Goed	2018	NA	n.r.	NA	0.53	Matig	2018	0.9	Goed	2018	0.53	Matig	2013-2018	4	1	4	4/apr
L1	L107_723	RODE LOOP	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.76	Goed	2017	NA	n.r.	NA	0.55	Matig	2017	0.95	Goed	2017	0.75	Goed	2013-2018	4	1	4	4/apr
L1	L111_15	HEIDEBEEK (VLETEREN)	rivier	rivier	Pz	Natuurlijk     	Aandachtsgebied	 Schelde	Ijzer	5	3	5	Ontoereikend	0.56	Matig	2016	NA	n.r.	NA	0	Slecht	2015	0.6	Goed	2013	0.5075	Matig	2013-2018	4	1	4	4/apr
VL	VL05_130	WAMP	rivier	rivier	BgK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.78	Goed	2017	NA	n.r.	NA	0.56	Matig	2017	0.9	Goed	2017	0.58	Matig	2013-2018	4	1	4	4/apr
L1	L107_600	LEYLOOP	rivier	rivier	BkK	Sterk Veranderd	Andere         	 Maas	Maas	3	3	3	Matig	0.88	Goed	2016	NA	n.r.	NA	0.57	Matig	2016	0.85	Goed	2018	0.5	Matig	2013-2018	4	1	4	4/apr
L1	L107_10	KEMMELBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Ijzer	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	0.2	Ontoereikend	2014	0.2	Slecht	2015	0.43	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_105	PALINGBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Goed	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.2	Slecht	2014	0.3	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L111_419	SCHOORBROEKBEEK	rivier	rivier	Bk	Natuurlijk     	Andere         	 Schelde	Demer	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	0.4	Matig	2016	NA	n.b.	NA	0.46	Matig	2013-2018	2	1	4	2/apr
L1	L111_436	VELPE L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	0.47	Matig	2013	0.65	Matig	2017	0.55	Matig	2013-2018	3	1	4	3/apr
L1	L111_624	TAPPELBEEK	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.62	Goed	2017	NA	n.r.	NA	0.47	Matig	2017	0.8	Goed	2018	0.465	Matig	2013-2018	4	1	4	4/apr
L1	L111_627	KLEINE BEEK (ZANDHOVEN)	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	5	3	5	Matig	0.43	Matig	2014	NA	n.r.	NA	0.1	Slecht	2017	0.65	Matig	2017	0.465	Matig	2013-2018	4	1	4	4/apr
L1	L111_639	VISBEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	3	3	3	Matig	0.56	Matig	2017	NA	n.r.	NA	NA	n.b.	NA	0.55	Matig	2017	0.48	Matig	2013-2018	3	1	4	3/apr
L1	L111_674	BENEDENVLIET L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	4	3	4	Matig	0.48	Matig	2018	NA	n.r.	NA	0.62	Goed	2018	0.8	Goed	2018	0.29	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_11	WANEBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Ijzer	5	3	5	Goed	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.2	Slecht	2015	0.43	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L111_699	SCHERPENBERGLOOP	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	0.56	Matig	2014	NA	n.r.	NA	0.47	Matig	2017	0.75	Goed	2017	0.48	Matig	2013-2018	4	1	4	4/apr
L1	L111_707	KLEINE HOOFDGRACHT	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	4	3	4	Matig	0.65	Goed	2017	NA	n.r.	NA	0.37	Ontoereikend	2017	0.9	Zeer goed	2017	0.4225	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L111_717	DESSELSE NEET	rivier	rivier	BkK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	3	3	3	Goed	0.59	Matig	2017	NA	n.r.	NA	0.51	Matig	2017	0.85	Goed	2017	0.518333	Matig	2013-2018	4	1	4	4/apr
L1	L111_724	ANTITANKGRACHT NOORD	rivier	rivier	Bk	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	3	3	3	Matig	1	Goed	2013	NA	n.r.	NA	0.47	Matig	2018	0.9	Goed	2018	0.505	Matig	2013-2018	4	1	4	4/apr
L1	L107_113	DOUVEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.3	Ontoereikend	2014	0.48	Matig	2013-2018	2	1	4	2/apr
L1	L117_1036	ZUUNBEEK L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dijle Zenne	5	3	5	Goed	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.45	Ontoereikend	2016	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_225	KEUTELBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.65	Matig	2018	0.45	Matig	2013-2018	2	1	4	2/apr
L1	L107_234	POEKEBEEK L1	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Gentse Kanalen	5	3	5	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.2	Slecht	2018	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L117_1074	HERK L1	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	5	3	5	Matig	0.5	Matig	2014	NA	n.r.	NA	0.33	Ontoereikend	2014	0.7	Goed	2017	0.2	Slecht	2013-2018	4	1	4	4/apr
L1	L117_1085	WILDERBEEK	rivier	rivier	Bk	Natuurlijk     	Speerpuntgebied	 Schelde	Demer	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	NA	n.b.	NA	0.45	Matig	2013-2018	1	1	4	1/apr
L1	L107_237	SPEIBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.7	Goed	2017	0.32	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L117_219	BURGGRAVENSTROOM	rivier	rivier	Bk	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	5	3	5	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.85	Goed	2016	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_241	KATTEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.45	Matig	2016	0.55	Matig	2016	0.32	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_247	STAMPKOTBEEK - WALLEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Boven-Schelde	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.7	Goed	2017	0.35	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L117_402	MOLENBEEK - SLAGVIJVERBEEK	rivier	rivier	Bk	Natuurlijk     	Aandachtsgebied	 Schelde	Dijle Zenne	n.b.	3	n.b.		NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	NA	n.b.	NA	NA	n.b.		0	1	4	0/4
L1	L117_659	KREKELBEEK	rivier	rivier	BkK	Natuurlijk     	Aandachtsgebied	 Schelde	Nete	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.5	Matig	2017	0.465	Matig	2013-2018	2	1	4	2/apr
L1	L107_266	PEERDESTOKBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Boven-Schelde	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.55	Matig	2017	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_272	OPHASSELTBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Dender	5	3	5		NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.7	Goed	2018	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_273	MOLENBEEK - PACHTBOSBEEK L1	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Dender	5	3	5	Goed	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.8	Goed	2016	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_275	TER ERPENBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.55	Matig	2018	0.43	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L107_276	MOLENBEEK - GRAADBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.4	Ontoereikend	2017	0.4	Ontoereikend	2013-2018	2	1	4	2/apr
L1	L107_277	WILDEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	0.23	Ontoereikend	2016	0.4	Ontoereikend	2018	0.2	Slecht	2013-2018	3	1	4	3/apr
L1	L107_282	MOLENBEEK - GONDEBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5		NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.6	Matig	2017	0.2	Slecht	2013-2018	2	1	4	2/apr
L1	L107_296	VOORSTESLOOT	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5		NA	n.b.	NA	NA	n.r.	NA	0	Slecht	2015	0.55	Matig	2017	0.415	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_299	VONDELBEEK L1	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	5	3	5		NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.25	Slecht	2018	0.4	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL05_108	HERK + KLEINE HERK	rivier	rivier	Bg	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	3	3	3	Matig	0.47	Matig	2014	NA	n.r.	NA	0.43	Matig	2017	0.55	Matig	2017	0.5575	Matig	2013-2018	4	1	4	4/apr
VL	VL05_110	MANGELBEEK	rivier	rivier	BgK	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.67	Goed	2017	0.4	Ontoereikend	2018	0.49	Matig	2013-2018	3	1	4	3/apr
VL	VL05_113	MOMBEEK	rivier	rivier	Bg	Natuurlijk     	Speerpuntgebied	 Schelde	Demer	4	3	4	Matig	0.62	Goed	2018	NA	n.r.	NA	0.42	Matig	2018	0.55	Matig	2018	0.42	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_330	WATERLOOP VAN DE HOGE LANDEN L1	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Beneden-Schelde	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.5	Matig	2015	0.7	Goed	2018	0.29	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL05_115	VELPE	rivier	rivier	Bg	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	3	3	3	Matig	0.46	Matig	2018	NA	n.r.	NA	0.61	Goed	2017	0.6	Matig	2017	0.52	Matig	2013-2018	4	1	4	4/apr
VL	VL05_116	WINGE	rivier	rivier	Bg	Natuurlijk     	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	0.36	Ontoereikend	2017	NA	n.r.	NA	0.55	Matig	2017	0.75	Goed	2017	0.65	Goed	2013-2018	4	1	4	4/apr
L1	L107_335	MOLENBEEK - BEVERBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Dender	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	0.43	Matig	2017	0.55	Matig	2017	0.65	Goed	2013-2018	3	1	4	3/apr
L1	L107_40	STENENSLUISVAART	rivier	rivier	Pz	Sterk Veranderd	Aandachtsgebied	 Schelde	Ijzer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.25	Ontoereikend	2015	0.55	Matig	2013-2018	2	1	4	2/apr
L1	L107_463	AABEEK (MECHELEN)	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Dijle Zenne	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	0.48	Matig	2018	0.5	Matig	2018	0.2	Slecht	2013-2018	3	1	4	3/apr
L1	L107_6	DIKKEBUSBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.67	Goed	2015	0.75	Goed	2018	0.43	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_613	SLUISKENSVIJVER	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	5	3	5	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.14	Slecht	2016	0.7	Goed	2016	0.37	Ontoereikend	2013-2018	3	1	4	3/apr
L1	L107_615	KLEINE BEEK (WUUSTWEZEL)	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	4	3	4	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	0.65	Goed	2016	0.85	Goed	2016	0.37	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL05_129	MOLENBEEK - BOLLAAK	rivier	rivier	BgK	Natuurlijk     	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	0.43	Matig	2017	0.7	Goed	2017	0.55	Matig	2013-2018	3	1	4	3/apr
L1	L107_656	BEGGELBEEK	rivier	rivier	Bk	Sterk Veranderd	Aandachtsgebied	 Schelde	Nete	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	0.74	Goed	2017	0.6	Matig	2017	0.465	Matig	2013-2018	3	1	4	3/apr
L1	L107_741	SPILLEBEEK	rivier	rivier	BkK	Sterk Veranderd	Andere         	 Maas	Maas	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.59	Matig	2016	0.8	Goed	2016	0.4	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL05_134	BERWIJN	rivier	rivier	Bg	Natuurlijk     	Aandachtsgebied	 Maas	Maas	4	3	4	Goed	0.6	Goed	2017	NA	n.r.	NA	0.5	Matig	2017	0.9	Zeer goed	2017	0.43	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL05_135	BOSBEEK	rivier	rivier	BgK	Natuurlijk     	Speerpuntgebied	 Maas	Maas	4	3	4	Matig	0.65	Goed	2017	NA	n.r.	NA	0.37	Ontoereikend	2017	0.75	Goed	2017	0.54	Matig	2013-2018	4	1	4	4/apr
VL	VL05_136	DOMMEL	rivier	rivier	BgK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	3	3	3	Matig	0.75	Goed	2018	NA	n.r.	NA	0.61	Goed	2018	0.63	Matig	2018	0.57	Matig	2013-2018	4	1	4	4/apr
L1	L107_742	PLATTE BEEK	rivier	rivier	BkK	Sterk Veranderd	Speerpuntgebied	 Schelde	Nete	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	0.48	Matig	2017	0.6	Matig	2017	0.5	Matig	2013-2018	3	1	4	3/apr
L1	L107_82	BABILLEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.2	Slecht	2018	0.28	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL05_139	JEKER I	rivier	rivier	Bg	Natuurlijk     	Andere         	 Maas	Maas	4	3	4	Matig	0.55	Matig	2017	NA	n.r.	NA	0.34	Ontoereikend	2014	0.65	Matig	2017	0.264	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_84	KROMMEBEEK	rivier	rivier	Bk	Sterk Veranderd	Andere         	 Schelde	Leie	5	3	5	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.25	Slecht	2016	0.2	Slecht	2013-2018	2	1	4	2/apr
VL	VL05_140	JEKER II	rivier	rivier	Rk	Natuurlijk     	Andere         	 Maas	Maas	3	3	3	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.5	Matig	2018	0.5	Matig	2013-2018	2	1	4	2/apr
VL	VL05_141	LOSSING	rivier	rivier	BgK	Natuurlijk     	Aandachtsgebied	 Maas	Maas	3	3	3	Ontoereikend	0.42	Matig	2016	NA	n.r.	NA	0.53	Matig	2016	0.7	Goed	2016	0.563333	Matig	2013-2018	4	1	4	4/apr
VL	VL05_146	MERKSKE	rivier	rivier	BgK	Natuurlijk     	Speerpuntgebied	 Maas	Maas	4	3	4	Goed	0.59	Matig	2016	NA	n.r.	NA	0.5	Matig	2016	0.83	Goed	2016	0.4	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_846	KAATSBEEK	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Schelde	Demer	4	3	4	Matig	NA	n.b.	NA	NA	n.r.	NA	0.27	Ontoereikend	2017	0.75	Goed	2017	0.37	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL05_149	AFLEIDINGSKANAAL van de LEIE II + KANAAL van EEKLO	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Brugse Polders	4	3	4	Ontoereikend	0.81	Goed	2016	0.56	Matig	2018	0.55	Matig	2017	0.4	Ontoereikend	2017	0.481667	Matig	2013-2018	5	0	5	5/mei
VL	VL05_150	AFLEIDINGSKANAAL van de LEIE/SCHIPDONKKANAAL I	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	3	3	3	Ontoereikend	0.7	Goed	2018	0.5	Matig	2018	NA	n.r.	NA	0.55	Goed	2018	0.51	Goed	2013-2018	4	1	4	4/apr
VL	VL05_152	AVRIJEVAART + SLEIDINGSVAARDEKE	rivier	rivier	Rk	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	3	3	3	Ontoereikend	0.77	Goed	2016	NA	n.r.	NA	0.56	Matig	2016	0.85	Goed	2016	0.5	Matig	2013-2018	4	1	4	4/apr
VL	VL05_153	BERGENVAART	rivier	rivier	Pb	Kunstmatig     	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	NA	n.r.	NA	0.42	Matig	2018	0	Slecht	2018	0.65	Goed	2018	0.52	Matig	2013-2018	4	1	4	4/apr
VL	VL05_158	KANAAL BOSSUIT-KORTRIJK	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Leie	3	3	3	Ontoereikend	0.75	Goed	2018	0.58	Matig	2018	0.5	Matig	2015	0.6	Goed	2018	0.488	Matig	2013-2018	5	0	5	5/mei
VL	VL05_159	KANAAL CHARLEROI-BRUSSEL	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Dijle Zenne	4	3	4	Slecht	0.59	Matig	2016	0.55	Matig	2018	NA	n.r.	NA	0.35	Ontoereikend	2016	0.381667	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL05_163	KANAAL GENT-OOSTENDE II	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	4	3	4	Ontoereikend	0.43	Matig	2018	0.5	Matig	2018	NA	n.r.	NA	0.4	Ontoereikend	2016	0.481667	Matig	2013-2018	4	1	4	4/apr
VL	VL05_166	KANAAL IEPER-IJZER	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	0.49	Matig	2017	0.05	Slecht	2018	NA	n.b.	NA	0.48	Matig	2018	0.5	Matig	2013-2018	4	0	5	4/mei
VL	VL05_167	KANAAL LEUVEN-DIJLE	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Dijle Zenne	3	3	3	Ontoereikend	0.59	Matig	2018	1	Goed	2018	NA	n.r.	NA	0.6	Goed	2018	0.54	Goed	2013-2018	4	1	4	4/apr
L1	L107_847	WINTERBEEK (BILZEN)	rivier	rivier	Bk	Sterk Veranderd	Speerpuntgebied	 Schelde	Demer	5	3	5	Goed	NA	n.b.	NA	NA	n.r.	NA	0	Slecht	2016	0.4	Ontoereikend	2016	0.45	Matig	2013-2018	3	1	4	3/apr
VL	VL05_170	KANAAL VAN BEVERLO	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Nete	3	3	3	Ontoereikend	0.77	Goed	2017	0.57	Matig	2018	NA	n.r.	NA	0.85	Goed	2014	0.4225	Matig	2013-2018	4	1	4	4/apr
VL	VL05_171	LEDE	rivier	rivier	Bg	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	3	3	3	Ontoereikend	0.61	Goed	2018	NA	n.r.	NA	0.59	Matig	2015	0.85	Goed	2018	0.45	Matig	2013-2018	4	1	4	4/apr
VL	VL05_175	MOERVAART	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	4	3	4	Ontoereikend	0.39	Ontoereikend	2018	0.51	Matig	2018	0.53	Matig	2015	0.7	Goed	2018	0.335	Ontoereikend	2013-2018	5	0	5	5/mei
VL	VL05_177	NIEUWE KALE	rivier	rivier	Rk	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	3	3	3	Matig	0.61	Goed	2017	NA	n.r.	NA	0.49	Matig	2017	0.7	Goed	2017	0.48	Matig	2013-2018	4	1	4	4/apr
L1	L107_879	VRIETSELBEEK - OUDE MAAS (DILSEN)	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	5	3	5	Matig	NA	n.b.	NA	NA	n.r.	NA	0.18	Slecht	2016	0.75	Goed	2016	0.378333	Ontoereikend	2013-2018	3	1	4	3/apr
VL	VL05_180	ZARRENBEEK	rivier	rivier	Bg	Kunstmatig     	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.25	Slecht	2016	0.43	Ontoereikend	2013-2018	2	1	4	2/apr
VL	VL05_182	ZUIDLEDE	rivier	rivier	Rk	Kunstmatig     	Aandachtsgebied	 Schelde	Gentse Kanalen	4	3	4	Matig	0.44	Matig	2017	NA	n.r.	NA	0.23	Ontoereikend	2017	0.63	Matig	2017	0.45	Matig	2013-2018	4	1	4	4/apr
VL	VL05_188	BLANKAART Spaarbekken	meer	meer	Ami	Kunstmatig     	Andere         	 Schelde	Ijzer	2	NA	2		NA	n.r.	NA	0.78	Goed	2016	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.		1	4	1	1/jan
VL	VL05_189	BLOKKERSDIJK	meer	meer	Ami	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	3	3	3		0.51	Matig	2015	1	Goed	2015	NA	n.b.	NA	NA	n.b.	NA	NA	n.b.		2	0	5	2/mei
VL	VL05_191	DESSELSE ZANDPUTTEN	meer	meer	Awom	Kunstmatig     	Andere         	 Schelde	Nete	4	3	4		0.62	Goed	2013	0.5	Matig	2018	0.5	Matig	2013	0.84	Goed	2013	0.35	Ontoereikend	2013-2018	5	0	5	5/mei
VL	VL05_192	DONKMEER	meer	meer	Ami	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	5	3	5		0.6	Goed	2013	0.32	Ontoereikend	2018	0.02	Slecht	2013	0.95	Goed	2017	NA	n.b.		4	0	5	4/mei
VL	VL05_193	EISDEN MIJN	meer	meer	Awe	Kunstmatig     	Andere         	 Maas	Maas	2	2	2		0.71	Goed	2014	1	Goed	2015	0.76	Goed	2014	0.83	Goed	2014	NA	n.b.		4	0	5	4/mei
VL	VL05_194	GALGENWEEL	meer	meer	Bzl	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	3	3	2		NA	n.r.	NA	1	Goed	2015	NA	n.b.	NA	NA	n.b.	NA	NA	n.b.		1	1	4	1/apr
VL	VL05_195	GAVERS HARELBEKE	meer	meer	Awe	Kunstmatig     	Andere         	 Schelde	Leie	4	3	4		0.67	Goed	2018	0.6	Goed	2018	NA	n.b.	NA	0.75	Goed	2016	0.3	Ontoereikend	2013-2018	4	0	5	4/mei
VL	VL05_196	GRINDPLAS KESSENICH	meer	meer	Awe	Kunstmatig     	Andere         	 Maas	Maas	3	3	3		0.53	Matig	2014	0.52	Matig	2018	NA	n.b.	NA	0.52	Matig	2014	0.7	Goed	2013-2018	4	0	5	4/mei
VL	VL05_197	GROTE VIJVER MECHELEN	meer	meer	Awe	Kunstmatig     	Andere         	 Schelde	Dijle Zenne	3	3	2		0.64	Goed	2014	0.89	Goed	2015	NA	n.b.	NA	0.7	Goed	2014	NA	n.b.		3	0	5	3/mei
VL	VL05_198	HAZEWINKEL	meer	meer	Awe	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	3	3	3		0.67	Goed	2014	0.84	Goed	2015	0.69	Goed	2014	0.89	Goed	2014	0.5	Matig	2013-2018	5	0	5	5/mei
VL	VL05_199	KLUIZEN I + II Spaarbekkens	meer	meer	Ami	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	3	3	2		NA	n.r.	NA	0.73	Goed	2017	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.		1	4	1	1/jan
L1	L107_883	ZIEPBEEK	rivier	rivier	BkK	Sterk Veranderd	Aandachtsgebied	 Maas	Maas	3	3	3	Matig	NA	n.b.	NA	NA	n.r.	NA	NA	n.b.	NA	0.65	Matig	2018	0.651	Goed	2013-2018	2	1	4	2/apr
VL	VL05_20	RIVIERBEEK + HERTSBERGEBEEK	rivier	rivier	Bg	Natuurlijk     	Aandachtsgebied	 Schelde	Brugse Polders	4	3	4	Goed	0.58	Matig	2016	NA	n.r.	NA	0.6	Goed	2016	0.35	Ontoereikend	2017	0.3175	Ontoereikend	2013-2018	4	1	4	4/apr
